graphic_type,dominant_colors,color_harmony_score,pattern_complexity,element_arrangement_density,cultural_relevance_score,user_feedback_score,material_efficiency,energy_consumption,environmental_impact_score,design_aesthetic_score,engagement_rate,ai_generated_features,sustainability_score
Arrangement,Warm,0.7755038764765572,Low,0.3209580612643721,0.7538382335290551,4.319293500756519,0.883523457773493,10.0,,,84.88013164911952,"[0.30008110489267326, 0.33168091812136413, 0.10571422753818416]",0.9953926405092436
Arrangement,Warm,,Low,,0.9382784385043964,5.449703640246128,0.5623480731863433,,0.3301707384546448,8.480665657218509,31.745018448549036,"[0.988026847314612, 0.8806891577810143, 0.7891656162979435]",1.1149095182460722
Combination,,0.6100734186209549,High,0.6419957574080895,,8.768979125660445,,5.0,,6.679355562842249,97.10340806524437,"[0.5165757746702948, 0.22529318652045727, 0.2958637508164679]",1.149624811571461
Combination,Warm,0.8180165868656724,High,0.3228168084396887,0.8703808555751872,7.800752473675541,0.7814972633396076,5.0,0.4100074289563085,9.722528207384432,18.295976967127093,"[0.1444139784542714, 0.4256654107080853, 0.7507900207206173]",
Color,Cool,,Medium,0.2747703928246695,0.9817116547241788,3.601174323167004,0.6661118907349977,,0.4749400763127129,5.27735505686266,88.49180040061046,"[0.44880243333765013, 0.3538714953470853, 0.1345551154650081]",0.9949815185715116
Arrangement,Neutral,0.994740470586946,Low,0.9086981355610402,0.5216921808342796,2.9720670285958994,0.8082933890675799,5.0,0.2249915208698307,7.183524999678221,29.419232950963305,"[0.9322188408419418, 0.24172329138892756, 0.4059832864993219]",1.152248653391063
Color,Cool,0.7500898579164361,High,0.1745406339544162,0.5059888709266106,4.96778370168947,0.8688466003454152,15.0,0.1631095471396977,6.323872362303694,24.16040225532712,"[0.585816434439868, 0.7530148246496893, 0.7201222587574949]",0.9054925603494212
Combination,Warm,0.7996197925323671,Medium,0.8410454835757204,0.9796899041597118,4.716097101795751,0.6433779495090006,15.0,0.9927110496561848,7.971916695958329,96.82866286583626,"[0.9885031110202243, 0.6649866702533139, 0.21364381222602957]",1.0973673513429312
Arrangement,Cool,,High,0.9179388967159454,0.8520515274259697,3.221257155398746,0.7331552656850935,5.0,0.7414739046960965,6.516667567977444,7.274853532592229,"[0.42243019815351723, 0.592111352194099, 0.700037188824741]",1.1539971211168938
Combination,,0.9734652358939992,Low,0.2913414020369133,0.7001030365721861,6.912225130289648,0.6533162246345743,5.0,0.2680205170293819,9.56071183859154,90.89103118450451,"[0.23146018852540573, 0.2842676610202103, 0.4027680255976024]",1.0383477796065712
Color,,0.6301853342854248,Medium,0.529034485340469,0.5236041806579987,6.433455515298344,0.5961166162073629,15.0,0.1636197490044671,9.183471041306918,,"[0.280146580663859, 0.2646990312872084, 0.07768442319814195]",1.0176559648304508
Color,Warm,0.8499805247785475,High,0.9152247248929604,0.6551891934042058,4.835609391236994,0.639501999327734,10.0,0.3472482381021604,9.554744019269783,23.06555265965623,"[0.4385099237579587, 0.6316282122322115, 0.8943974649073605]",1.1607092663427412
Arrangement,Cool,0.7500674408590029,Medium,,0.5153249252284688,7.826350364447345,0.6885705005057778,15.0,0.181451673134222,8.56697904294321,67.55259834776307,"[0.5070132223452181, 0.12308027931051257, 0.6181422267442164]",1.1287196607651242
